term_lower	term	confidence	origin	defined_in
example of universe	example of universe	high	planetmath	ExampleOfUniverse
example of universe of finite sets	example of universe of finite sets	high	planetmath	ExampleOfUniverseOfFiniteSets
example.	Example.	medium	planetmath	EnoughProjectives;ProjectiveObject
examples of epis	examples of epis	high	planetmath	ExamplesOfEpis
examples of equalizers	examples of equalizers	high	planetmath	ExamplesOfEqualizers
examples of initial objects and terminal objects and zero objects	examples of initial objects and terminal objects and zero objects	high	planetmath	ExamplesOfInitialObjectsAndTerminalObjectsAndZeroObjects
examples of monics	examples of monics	high	planetmath	ExamplesOfMonics
examples of pullbacks	examples of pullbacks	high	planetmath	ExamplesOfPullbacks
examples of subcategories	Examples of Subcategories	medium	planetmath	Subcategory
examples of supercategories	Examples of supercategories	medium	planetmath	NsupercategoryTheory
examples.	Examples.	medium	planetmath	StoppingTime
examples:	Examples:	medium	planetmath	MedianOfADistribution
examplesofabeliancategory	ExamplesOfAbelianCategory	medium	planetmath	IndexOfCategories
examplesofepis	ExamplesOfEpis	medium	planetmath	BalancedCategory
examplesofmonics	ExamplesOfMonics	medium	planetmath	BalancedCategory
examplesofpullbacks	ExamplesOfPullbacks	medium	planetmath	CategoryOfSmallCategories
exchange interaction	exchange interaction	low	se-physics	
exchangeable	exchangeable	high	planetmath	ExchangeableRandomVariables
exchangeable process	exchangeable process	high	planetmath	ExchangeableRandomVariables
exchangeable random variables	exchangeable random variables	high	planetmath	ExchangeableRandomVariables
exchangeable stochastic process	exchangeable stochastic process	high	planetmath	ExchangeableRandomVariables
exist	exist	medium	planetmath	3DistributedDynamicalSystems
existence	existence	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
existence of the conditional expectation	existence of the conditional expectation	high	planetmath	ExistenceOfTheConditionalExpectation
exoplanets	exoplanets	medium	se-physics	
exotic matter	exotic matter	low	se-physics	
expectation	expectation	high	planetmath	ExpectedValue
expectation of a non negative random variable	Expectation of a non negative random variable	high	planetmath	ExpectationOfANonNegativeRandomVariable
expectation value	expectation value	high	planetmath	ExpectedValue
expected value	expected value	high	planetmath	ExpectedValue
experimental physics	experimental physics	medium	se-physics	
experimental technique	experimental technique	medium	se-physics	
experimental technology	experimental technology	medium	se-physics	
explosions	explosions	medium	se-physics	
exponential functor	exponential functor	high	planetmath	ExponentialObject
exponential object	exponential object	high	planetmath	ExponentialObject
exponentialrandomvariable	ExponentialRandomVariable	medium	planetmath	ListOfProbabilityDistributions
ext	Ext	high	planetmath	Ext;Tor
ext-2004-125	EXT-2004-125	medium	planetmath	MVLogicsInTheCategoryOfAutomata
extended coherence	extended coherence	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
extended hurewicz fundamental theorem	extended Hurewicz Fundamental Theorem	high	planetmath	GeneralizedHurewiczFundamentalTheorem
extended quantum symmetries	extended quantum symmetries	high	planetmath	QuantumGroupoids
extended symmetries	extended symmetries	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
extension of algebraic topology	extension of algebraic topology	high	planetmath	HigherDimensionalAlgebra
extremal	extremal	medium	planetmath	ExtremalMonomorphism
extremal epimorphism	extremal epimorphism	high	planetmath	ExtremalMonomorphism
extremal episink	extremal episink	high	planetmath	Source
extremal monomorphism	extremal monomorphism	high	planetmath	ExtremalMonomorphism
extremal monosource	extremal monosource	high	planetmath	Source
extremally cowellpowered	extremally cowellpowered	high	planetmath	WellpoweredCategory
extremally wellpowered	extremally wellpowered	high	planetmath	WellpoweredCategory
extremalmonomorphism	ExtremalMonomorphism	medium	planetmath	StrongMonomorphism
f-isomorphisms in categories	F-isomorphisms in categories	high	planetmath	FisomorphismsInCategories
f.f.d.	f.f.d.	high	planetmath	DistributionsOfAStochasticProcess
factorization system	factorization system	high	planetmath	FactorizationSystem
faddeev	Faddeev	low	se-physics-body	
failure functions	failure functions	high	planetmath	FailureFunctions
faithful	faithful	medium	planetmath	FaithfulFunctor
faithful functor	faithful functor	high	planetmath	FaithfulFunctor
faithfulfunctor	FaithfulFunctor	medium	planetmath	DiagonalFunctor;EssentiallySurjective;MitchellsEmbeddingTheorem
families of molecular sets	families of molecular sets	medium	planetmath	MolecularSetAndMolecularClassVariables
family	family	medium	planetmath	GrothendieckCategory
family of $n$ inter--connected quartets	family of $n$ inter--connected quartets	medium	planetmath	MVLogicsInTheCategoryOfAutomata
family of category generators	family of category generators	high	planetmath	GrothendieckCategory
family of generators	family of generators	medium	planetmath	GrothendieckCategory;ProperGeneratorOfAGrothendieckCategory
fan	fan	low	se-physics	
faraday	Faraday	low	se-physics-body	
faseb proceedings	FASEB Proceedings	medium	planetmath	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;MolecularSetAndMolecularClassVariables;Supercategory
faster than light	faster than light	medium	se-physics	
fdistribution	FDistribution	medium	planetmath	ListOfProbabilityDistributions
fearful symmetry: is god a geometer?	Fearful Symmetry: Is God a Geometer?	medium	planetmath	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
feller process	Feller process	high	planetmath	FellerProcess
feller semigroup	Feller semigroup	high	planetmath	FellerProcess
feller transition function	Feller transition function	high	planetmath	FellerProcess
fermi	Fermi	low	se-physics-body	
fermi energy	fermi energy	medium	se-physics	
fermi level	Fermi Level	low	se-physics-body	
fermi liquids	fermi liquids	low	se-physics	
fermi problem	fermi problem	low	se-physics	
fermions	fermions	medium	se-physics	
fermis golden rule	fermis golden rule	medium	se-physics	
ferromagnetism	ferromagnetism	medium	se-physics	
feynman	Feynman	low	se-physics-body	
feynman diagrams	feynman diagrams	medium	se-physics	
ffd	ffd	high	planetmath	DistributionsOfAStochasticProcess
fiber optics	fiber optics	medium	se-physics	
field	Field	medium	planetmath	Subcategory
field theory	field theory	medium	se-physics	
fields institute communications	Fields Institute Communications	medium	planetmath	MVLogicsInTheCategoryOfAutomata
fields institute communications \textbf{43	Fields Institute Communications \textbf{43	medium	planetmath	HomotopyGroupoidsAndCrossedComplexesNoncommutativeStructuresInHigherDimensionalAlgebraHDA
fields institute workshop 2004: categorical structures for descent and galois theory	Fields Institute Workshop 2004: categorical structures for Descent and Galois theory	high	planetmath	HomotopyGroupoidsAndCrossedComplexesNoncommutativeStructuresInHigherDimensionalAlgebraHDA
fields of states	fields of states	medium	planetmath	MolecularSetAndMolecularClassVariables
filtered probability space	filtered probability space	high	planetmath	FilteredProbabilitySpace
filtration of $\sigma$-algebras	filtration of $\sigma$-algebras	high	planetmath	FiltrationOfsigmaalgebras
filtration of sigma-algebras	filtration of sigma-algebras	high	planetmath	FiltrationOfsigmaalgebras
filtrationofsigmaalgebras	FiltrationOfSigmaAlgebras	medium	planetmath	FilteredProbabilitySpace;HittingTimesAreStoppingTimes;ItoIntegral
final sink	final sink	high	planetmath	InitialSource
fine tuning	fine tuning	medium	se-physics	
finite dimensional distributions	finite dimensional distributions	high	planetmath	DistributionsOfAStochasticProcess
finite dimensional probability distributions	finite dimensional probability distributions	high	planetmath	DistributionsOfAStochasticProcess
finite variation process	finite variation process	high	planetmath	FiniteVariationProcess
finite-variation process	finite-variation process	medium	planetmath	FiniteVariationProcess
finitely additive	finitely additive	high	planetmath	Measure
finitely additive measure	finitely additive measure	medium	planetmath	Measure
finitely cocomplete	finitely cocomplete	high	planetmath	CompleteCategory
finitely cocomplete category	finitely cocomplete category	high	planetmath	CompleteCategory
finitely complete	finitely complete	high	planetmath	CompleteCategory
finitely complete category	finitely complete category	high	planetmath	CompleteCategory
finitevariationprocess	FiniteVariationProcess	medium	planetmath	QuadraticVariationOfASemimartingale
first	first	medium	planetmath	RecurrenceInAMarkovChain
first-order categorical logic	First-Order Categorical Logic	medium	planetmath	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
five lemma	five lemma	high	planetmath	5lemma
five-lemma	five-lemma	high	planetmath	5lemma
fixed value	fixed value	medium	planetmath	ConstantFunctor
floquet theory	floquet theory	low	se-physics	
flow	flow	medium	se-physics	
fluctuation dissipation	fluctuation dissipation	low	se-physics	
fluid dynamics	fluid dynamics	medium	se-physics	
fluid statics	fluid statics	medium	se-physics	
fluorescence	fluorescence	low	se-physics	
fock space	Fock Space	low	se-physics-body	
food	food	low	se-physics	
forces	forces	medium	se-physics	
forgetful	forgetful	high	planetmath	ForgetfulFunctor
forgetful
functor	forgetful
functor	medium	planetmath	ConcreteCategory
forgetful functor	forgetful functor	high	planetmath	ConcreteCategory;ForgetfulFunctor
formally	formally	medium	planetmath	CategoryOfFractions
formulas	formulas	medium	planetmath	NsupercategoryTheory;Supercategory
foundations	foundations	medium	se-physics	
foundations of algebraic topology	Foundations of Algebraic Topology	medium	planetmath	NonAbelianStructures
foundations of modern analysis	Foundations of Modern Analysis	medium	planetmath	OuterMeasure;PropertiesForMeasure
foundations of modern probability	Foundations of modern probability	medium	planetmath	MartingaleProofOfKolmogorovsStrongLawForSquareIntegrableVariables;ProofOfKolmogorovsStrongLawForIIDRandomVariables;StochasticIntegral
foundations of quantum group theory	Foundations of Quantum Group Theory	medium	planetmath	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures;QuantumGroupoids
foundations of quantum group theory.	Foundations of Quantum Group Theory.	medium	planetmath	Quasicrystal
foundations of the theory of probability	Foundations of the Theory of Probability	medium	planetmath	BibliographyForProbability
fourier	Fourier	low	se-physics-body	
fourier transform	fourier transform	medium	se-physics	
fractals	fractals	low	se-physics	
fracture	fracture	low	se-physics	
frame dragging	frame dragging	low	se-physics	
free	free	medium	planetmath	FreeObjectsInConcreteCategories
free body diagram	free body diagram	medium	se-physics	
free category	free category	high	planetmath	Precategory
free fall	free fall	medium	se-physics	
free objects in concrete categories	free objects in concrete categories	high	planetmath	FreeObjectsInConcreteCategories
freezing	freezing	medium	se-physics	
frequency	frequency	medium	se-physics	
freyd-mitchell embedding theorem	Freyd-Mitchell embedding theorem	high	planetmath	MitchellsEmbeddingTheorem
friction	friction	medium	se-physics	
from being to becoming : time and complexity in the physical sciences	From Being to Becoming : Time and Complexity in the Physical Sciences	medium	planetmath	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
from being to becoming: time and complexity in the physical sciences	From being to becoming: Time and Complexity in the physical sciences	medium	planetmath	QuantumGroupoids
from one type to another	from one type to another	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
full	full	medium	planetmath	FullFunctor
full functor	full functor	high	planetmath	FullFunctor
full subcategories	full subcategories	medium	planetmath	GrassmannHopfAlgebroidCategoriesAndGrassmannCategories
full subcategory	full subcategory	high	planetmath	Subcategory
full subcategory of grassman algebras	full subcategory of Grassman algebras	high	planetmath	GrassmannHopfAlgebroidCategoriesAndGrassmannCategories
fullfunctor	fullfunctor	medium	planetmath	EquivalenceOfCategories;EssentiallySurjective;MitchellsEmbeddingTheorem
function	function	medium	planetmath	NaturalTransformation
functional derivatives	functional derivatives	medium	se-physics	
functional determinants	functional determinants	medium	se-physics	
functionality	functionality	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
functions	functions	medium	planetmath	NaturalTransformation
functor	functor	high	planetmath	CategoryTheory;Functor
functor category	functor category	high	planetmath	FunctorCategory;FunctorCategory1;NaturalTransformation
functor category examples	functor category examples	high	planetmath	FunctorCategoryExamples
functor theory	Functor Theory	medium	planetmath	NonAbelianStructures
functorcategories	FunctorCategories	medium	planetmath	2category
functorcategory	FunctorCategory	medium	planetmath	CategoryOfSmallCategories
functorcategory2	FunctorCategory2	medium	planetmath	FunctorCategoryExamples;Supercategory
functorial morphism	functorial morphism	high	planetmath	NaturalTransformation
functorial morphisms	functorial morphisms	medium	planetmath	MolecularSetAndMolecularClassVariables;NaturalTransformation;NsupercategoryTheory
fundamental class	fundamental class	high	planetmath	DerivationOfCohomologyGroupTheoremForConnectedCWcomplexes
fundamental complexity diagrams	fundamental complexity diagrams	high	planetmath	FundamentalComplexityDiagrams
